Date,Open,High,Low,Close,GOOG,Volume
2019-01-30,1068.430054,1091,1066.849976,1089.060059,1089.060059,1279800
2019-01-31,1103,1117.329956,1095.410034,1116.369995,1116.369995,1538300
2019-02-01,1112.400024,1125,1104.890015,1110.75,1110.75,1462200
2019-02-04,1112.660034,1132.800049,1109.02002,1132.800049,1132.800049,2576500
2019-02-05,1124.839966,1146.849976,1117.248047,1145.98999,1145.98999,3552200
2019-02-06,1139.569946,1147,1112.77002,1115.22998,1115.22998,2105600
2019-02-07,1104.160034,1104.839966,1086,1098.709961,1098.709961,2044800
2019-02-08,1087,1098.910034,1086.550049,1095.060059,1095.060059,1075800
2019-02-11,1096.949951,1105.944946,1092.859985,1095.01001,1095.01001,1065200
2019-02-12,1106.800049,1125.295044,1105.849976,1121.369995,1121.369995,1609100
2019-02-13,1124.98999,1134.72998,1118.5,1120.160034,1120.160034,1049800
2019-02-14,1118.050049,1128.22998,1110.444946,1121.670044,1121.670044,947600
2019-02-15,1130.079956,1131.670044,1110.650024,1113.650024,1113.650024,1449800
2019-02-19,1110,1121.890015,1110,1118.560059,1118.560059,1046400
2019-02-20,1119.98999,1123.410034,1105.280029,1113.800049,1113.800049,1087800
2019-02-21,1110.839966,1111.939941,1092.52002,1096.969971,1096.969971,1415100
2019-02-22,1100.900024,1111.23999,1095.599976,1110.369995,1110.369995,1049500
2019-02-25,1116,1118.540039,1107.27002,1109.400024,1109.400024,1413100
2019-02-26,1105.75,1119.51001,1099.920044,1115.130005,1115.130005,1471300
2019-02-27,1106.949951,1117.97998,1101,1116.050049,1116.050049,968400
2019-02-28,1111.300049,1127.650024,1111.01001,1119.920044,1119.920044,1542500
2019-03-01,1124.900024,1142.969971,1124.75,1140.98999,1140.98999,1450300
2019-03-04,1146.98999,1158.280029,1130.689941,1147.800049,1147.800049,1446000
2019-03-05,1150.060059,1169.609985,1146.194946,1162.030029,1162.030029,1443200
2019-03-06,1162.48999,1167.56604,1155.48999,1157.859985,1157.859985,1099300
2019-03-07,1155.719971,1156.755005,1134.910034,1143.300049,1143.300049,1166600
2019-03-08,1126.72998,1147.079956,1123.300049,1142.319946,1142.319946,1212400
2019-03-11,1144.449951,1176.189941,1144.449951,1175.76001,1175.76001,1719200
2019-03-12,1178.26001,1200,1178.26001,1193.199951,1193.199951,2013100
2019-03-13,1200.64502,1200.930054,1191.939941,1193.319946,1193.319946,1435900
2019-03-14,1194.51001,1197.880005,1184.47998,1185.550049,1185.550049,1172800
2019-03-15,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
2019-03-18,1183.300049,1190,1177.421021,1184.26001,1184.26001,1292600
2019-03-19,1188.810059,1200,1185.869995,1198.849976,1198.849976,1520700
2019-03-20,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
2019-03-21,1216,1231.790039,1213.150024,1231.540039,1231.540039,1204000
2019-03-22,1226.319946,1230,1202.824951,1205.5,1205.5,1714200
2019-03-25,1196.930054,1206.397949,1187.040039,1193,1193,1496800
2019-03-26,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
2019-03-27,1185.5,1187.55896,1159.369995,1173.02002,1173.02002,1400200
2019-03-28,1171.540039,1171.564941,1159.43103,1168.48999,1168.48999,1012400
2019-03-29,1174.900024,1178.98999,1162.880005,1173.310059,1173.310059,1269900
2019-04-01,1184.099976,1196.660034,1182,1194.430054,1194.430054,1252500
2019-04-02,1195.319946,1201.349976,1185.709961,1200.48999,1200.48999,827900
2019-04-03,1207.47998,1216.300049,1200.5,1205.920044,1205.920044,1017800
2019-04-04,1205.939941,1215.670044,1204.130005,1215,1215,950000
2019-04-05,1214.98999,1216.219971,1205.030029,1207.150024,1207.150024,907200
2019-04-08,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
2019-04-09,1196,1202.290039,1193.079956,1197.25,1197.25,876400
2019-04-10,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600
2019-04-11,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200
2019-04-12,1210,1218.349976,1208.109985,1217.869995,1217.869995,933400
2019-04-15,1218,1224.199951,1209.109985,1221.099976,1221.099976,1187400
2019-04-16,1225,1230.819946,1220.119995,1227.130005,1227.130005,856300
2019-04-17,1233,1240.560059,1227.819946,1236.339966,1236.339966,1221900
2019-04-18,1239.180054,1242,1234.609985,1236.369995,1236.369995,1331800
2019-04-22,1235.98999,1249.089966,1228.310059,1248.839966,1248.839966,807300
2019-04-23,1250.689941,1269,1246.380005,1264.550049,1264.550049,1319900
2019-04-24,1264.119995,1268.01001,1255,1256,1256,1018800
2019-04-25,1264.77002,1267.407959,1252.030029,1263.449951,1263.449951,1107300
2019-04-26,1269,1273.069946,1260.319946,1272.180054,1272.180054,1241400
2019-04-29,1274,1289.27002,1266.295044,1287.579956,1287.579956,2499400
2019-04-30,1185,1192.810059,1175,1188.47998,1188.47998,6207000
2019-05-01,1188.050049,1188.050049,1167.180054,1168.079956,1168.079956,2639200
2019-05-02,1167.76001,1174.189941,1155.001953,1162.609985,1162.609985,1944800
2019-05-03,1173.650024,1186.800049,1169,1185.400024,1185.400024,1980700
2019-05-06,1166.26001,1190.849976,1166.26001,1189.390015,1189.390015,1563900
2019-05-07,1180.469971,1190.439941,1161.040039,1174.099976,1174.099976,1551400
2019-05-08,1172.01001,1180.42395,1165.73999,1166.27002,1166.27002,1309300
2019-05-09,1159.030029,1169.660034,1150.849976,1162.380005,1162.380005,1185700
2019-05-10,1163.589966,1172.599976,1142.5,1164.27002,1164.27002,1314500
2019-05-13,1141.959961,1147.939941,1122.109985,1132.030029,1132.030029,1860600
